keyword,target,intent,totalVol,comp,score
"남자집들이선물",선물,정보,500,"높음",150
"일본비즈",입문,정보,250,"중간",150
"써지컬부자재",입문,상업,490,"높음",147
"며느리생일선물",선물,정보,490,"높음",147
"디퓨저선물",선물,정보,490,"높음",147
"냅킨공예",입문,정보,490,"높음",147
"AI챗봇만들기",입문,상업,490,"높음",147
"여름비즈팔찌",입문,정보,490,"높음",147
"차량석고방향제",입문,정보,490,"높음",147
"전통소품",입문,정보,240,"중간",144
"현관디퓨저",입문,정보,480,"높음",144
"아버지선물",선물,정보,480,"높음",144
"서울저녁데이트",커플,정보,480,"높음",144
"가죽핸들",입문,정보,240,"중간",144
"브레인트레이너",입문,정보,480,"높음",144
"비즈재료쇼핑몰",입문,상업,480,"높음",144
"마크라메팔찌",입문,정보,480,"높음",144
"클레이도구",입문,정보,470,"높음",141
"원데이클래스어플",입문,거래,470,"높음",141
"크리스마스선물",선물,정보,470,"높음",141
"이사집선물",선물,정보,470,"높음",141
"시부모님선물",선물,정보,470,"높음",141
"10만원대집들이선물",선물,정보,470,"높음",141
"캘리그라피폰트",입문,정보,470,"높음",141
"의정부실내데이트",커플,정보,470,"높음",141
"동탄원데이클래스",입문,거래,470,"높음",141
"행궁동원데이클래스",입문,거래,470,"높음",141
"와이어공예",입문,정보,470,"높음",141
"천연원석비즈",입문,정보,470,"높음",141
"DIY키링",입문,상업,460,"높음",138
"도예학원",입문,정보,460,"높음",138
"이천원데이클래스",입문,거래,230,"중간",138
"우디향디퓨저",입문,정보,460,"높음",138
"가죽손잡이",입문,정보,460,"높음",138
"은반지만들기",입문,상업,450,"높음",135
"귀걸이부자재",입문,상업,450,"높음",135
"비누재료",입문,상업,450,"높음",135
"차량용디퓨저공병",입문,정보,450,"높음",135
"초등학생만들기키트",학부모,상업,440,"높음",132
"70대할머니선물",선물,정보,440,"높음",132
"자취생선물",선물,정보,440,"높음",132
"도예자격증",강사,정보,220,"중간",132
"요가클래스",입문,거래,440,"높음",132
"만들기세트",입문,상업,440,"높음",132
"세종원데이클래스",입문,거래,440,"높음",132
"서울베이킹원데이클래스",입문,거래,440,"높음",132
"석고몰드",입문,상업,440,"높음",132
"50대취미",입문,정보,440,"높음",132
"비즈아트",입문,정보,440,"높음",132
"잠실이색데이트",커플,정보,440,"높음",132
"비즈와이어",입문,정보,220,"중간",132
"원석목걸이만들기",입문,상업,220,"중간",132
"팔찌고무줄",입문,정보,440,"높음",132
"디퓨저선물세트",선물,정보,430,"높음",129
"캘리그라피자격증",강사,정보,430,"높음",129
"신설동가죽시장",입문,정보,430,"높음",129
"요리클래스",입문,거래,430,"높음",129
"남자취미",입문,정보,430,"높음",129
"레진재료",입문,상업,420,"높음",126
"레진샵",입문,정보,210,"중간",126
"레진용액",입문,정보,210,"중간",126
"실버부자재",입문,상업,420,"높음",126
"고양이선물",선물,정보,420,"높음",126
"한글캘리그라피",입문,정보,420,"높음",126
"가죽공예가방",입문,정보,210,"중간",126
"동대문가죽시장",입문,정보,210,"중간",126
"미술키트",입문,상업,420,"높음",126
"성인취미",입문,정보,420,"높음",126
"마크라메키링",입문,정보,420,"높음",126
"디퓨져스틱",입문,정보,420,"높음",126
"도마만들기",입문,상업,410,"높음",123
"집들이디퓨저",선물,정보,410,"높음",123
"성인취미추천",입문,정보,410,"높음",123
"부천원데이클래스",입문,거래,410,"높음",123
"한복소품",입문,정보,410,"높음",123
"매듭팔찌재료",입문,상업,410,"높음",123
"비즈파츠",입문,정보,410,"높음",123
"서울실내데이트추천",커플,정보,410,"높음",123
"가죽공예체험",입문,거래,400,"높음",120
"크라우드소싱",입문,정보,400,"높음",120
"70대선물",선물,정보,400,"높음",120
"가죽공���체험",입문,거래,400,"높음",120
"가죽공방원데이클래스",입문,거래,400,"높음",120
"캘리그라피엽서",입문,정보,400,"높음",120
"직장인취미",입문,정보,400,"높음",120
"엑셀무료체험",입문,거래,200,"중간",120
"비즈팔찌만들기세트",입문,상업,400,"높음",120
"목걸이참",입문,정보,400,"높음",120
"디퓨져베이스",입문,정보,200,"중간",120
"건대실내데이트",커플,정보,400,"높음",120
"향수직구",입문,정보,390,"높음",117
"3만원선물",선물,정보,390,"높음",117
"가죽각인",입문,정보,390,"높음",117
"임산부디퓨저",입문,정보,390,"높음",117
"차량용방향제만들기",입문,상업,390,"높음",117
"향수원데이클래스",입문,거래,390,"높음",117
"비즈DIY",입문,상업,390,"높음",117
"부산초등학생체험",학부모,거래,390,"높음",117
"자개비즈",입문,정보,390,"높음",117
"전통공예",입문,정보,380,"높음",114
"나무공예",입문,정보,380,"높음",114
"공예재료",입문,상업,380,"높음",114
"DIY만들기",입문,상업,380,"높음",114
"유치원만들기",입문,상업,190,"중간",114
"탑꾸재료",입문,상업,380,"높음",114
"실용적인선물",선물,정보,380,"높음",114
"가죽공방카드지갑",입문,거래,380,"높음",114
"도자기공예기능사",입문,정보,190,"중간",114
"비즈쇼핑몰",입문,정보,380,"높음",114
"수원팔찌공방",입문,거래,380,"높음",114
"레진키트",입문,상업,370,"높음",111
"만들기수업",입문,거래,370,"높음",111
"레진공방",입문,거래,370,"높음",111
"천연디퓨져",입문,정보,370,"높음",111
"아버지환갑선물",선물,정보,370,"높음",111
"가죽지갑만들기",입문,상업,370,"높음",111
"빼빼로만들기",입문,상업,370,"높음",111
"부케만들기",입문,상업,370,"높음",111
"성인취미학원",입문,정보,370,"높음",111
"생일카드만들기",입문,상업,370,"높음",111
"묵주팔찌만들기",입문,상업,370,"높음",111
"터키석비즈",입문,정보,370,"높음",111
"디퓨저병",입문,정보,370,"높음",111
"레진파츠",입문,정보,180,"중간",108
"일일체험",입문,거래,360,"높음",108
"집순이취미",입문,정보,360,"높음",108
"비즈키링재료",입문,상업,360,"높음",108
"실리콘몰드만들기",입문,상업,360,"높음",108
"경기도체험",입문,거래,360,"높음",108
"목공DIY",입문,상업,360,"높음",108
"가죽공방가방",입문,거래,360,"높음",108
"김포실내데이트",커플,정보,360,"높음",108
"종로데이트코스",커플,정보,360,"높음",108
"플라워원데이클래스",입문,거래,360,"높음",108
"젤왁스",입문,정보,360,"높음",108
"천연비누재료",입문,상업,360,"높음",108
"레진아트몰드",입문,상업,350,"높음",105
"자개재료",입문,상업,350,"높음",105
"DIY그림그리기",입문,상업,350,"높음",105
"초등학생만들기",학부모,상업,350,"높음",105
"캔들공방",입문,거래,350,"높음",105
"건강선물",선물,정보,350,"높음",105
"50대엄마생일선물",선물,정보,350,"높음",105
"거실디퓨저",입문,정보,350,"높음",105
"가죽공예도구",입문,정보,350,"높음",105
"문화체험",입문,거래,350,"높음",105
"종로원데이클래스",입문,거래,350,"높음",105
"온라인클래스",입문,거래,350,"높음",105
"아크릴비즈",입문,정보,350,"높음",105
"입욕제만들기",입문,상업,350,"높음",105
"론델비즈",입문,정보,350,"높음",105
"유리비즈",입문,정보,350,"높음",105
"열쇠고리만들기",입문,상업,350,"높음",105
"가죽공예DIY",입문,상업,340,"높음",102
"도자기재료",입문,상업,340,"높음",102
"취미찾기",입문,정보,340,"높음",102
"묵주팔찌재료",입문,상업,340,"높음",102
"어머님선물",선물,정보,340,"높음",102
"입주선물",선물,정보,340,"높음",102
"20만원대집들이선물",선물,정보,340,"높음",102
"오일디퓨저",입문,정보,340,"높음",102
"의자가죽",입문,정보,170,"중간",102
"양초만들기",입문,상업,340,"높음",102
"젤캔들",입문,정보,340,"높음",102
"취미학원",입문,정보,340,"높음",102
"취미활동",입문,정보,340,"높음",102
"돈안드는취미",입문,정보,170,"중간",102
"악세서리부자재",입문,상업,340,"높음",102
"팔찌실",입문,정보,340,"높음",102
"팔찌우레탄줄",입문,정보,340,"높음",102
"가드닝클래스",입문,거래,330,"높음",99
"캘리그라피책",입문,정보,330,"높음",99
"평택도자기공방",입문,거래,330,"높음",99
"용산원데이클래스",입문,거래,330,"높음",99
"비즈공예팔찌",입문,정보,320,"높음",96
"부산비누공방",입문,거래,160,"중간",96
"캔들추천",입문,정보,320,"높음",96
"우드향디퓨저",입문,정보,160,"중간",96
"아기디퓨저",입문,정보,320,"높음",96
"셀프명함만들기",입문,상업,320,"높음",96
"키링꾸미기",입문,정보,320,"높음",96
"냅킨아트재료파는곳",입문,상업,310,"높음",93
"키링키링",입문,정보,310,"높음",93
"목걸이진열대",입문,정보,310,"높음",93
"은반지주문제작",입문,정보,310,"높음",93
"그릇만들기",입문,상업,310,"높음",93
"의정부원데이클래스",입문,거래,310,"높음",93
"화장실디퓨저추천",입문,정보,310,"높음",93
"세무가죽",입문,정보,310,"높음",93
"디퓨저사용법",입문,정보,310,"높음",93
"도예원데이클래스",입문,거래,310,"높음",93
"과학체험",입문,거래,310,"높음",93
"캔들샵",입문,정보,310,"높음",93
"아로마향초",입문,정보,310,"높음",93
"생일초대장만들기",입문,상업,310,"높음",93
"클레이세트",입문,정보,310,"높음",93
"석고방향제리필",입문,정보,310,"높음",93
"비전드로잉",입문,정보,150,"중간",90
"공예체험",입문,거래,300,"높음",90
"라탄공방",입문,거래,300,"높음",90
"화장실디퓨져",입문,정보,300,"높음",90
"요가원데이클래스",입문,거래,300,"높음",90
"꽃꽂이원데이클래스",입문,거래,300,"높음",90
"석고방향제몰드",입문,상업,300,"높음",90
"미술원데이클래스",입문,거래,300,"높음",90
"거제원데이클래스",입문,거래,150,"중간",90
"제빵원데이클래스",입문,거래,300,"높음",90
"군산원데이클래스",입문,거래,300,"높음",90
"비즈악세사리",입문,정보,300,"높음",90
"캐릭터비즈",입문,정보,150,"중간",90
"키링참",입문,정보,300,"높음",90
"키링파츠",입문,정보,300,"높음",90
"레진그립톡",입문,정보,290,"높음",87
"직장인취미추천",입문,정보,290,"높음",87
"40대취미",입문,정보,290,"높음",87
"비누공예",입문,정보,290,"높음",87
"양갱몰드",입문,상업,290,"높음",87
"공예키트",입문,상업,290,"높음",87
"특별한생일선물",선물,정보,290,"높음",87
"유치원선생님선물",선물,정보,290,"높음",87
"피톤치드디퓨저",입문,정보,290,"높음",87
"가죽카드지갑만들기",입문,상업,290,"높음",87
"슈렁큰가죽",입문,정보,290,"높음",87
"쿠키원데이클래스",입문,거래,290,"높음",87
"공예용와이어",입문,정보,290,"높음",87
"헤어핀만들기",입문,상업,290,"높음",87
"매듭공예재료",입문,상업,140,"중간",84
"유아만들기",학부모,상업,280,"높음",84
"레진틀",입문,정보,140,"중간",84
"가족선물",선물,정보,280,"높음",84
"30대여자선물추천",선물,정보,280,"높음",84
"20대여성선물",선물,정보,280,"높음",84
"발향좋은디퓨저",입문,정보,280,"높음",84
"캘리그라피학원",입문,정보,280,"높음",84
"스웨이드가죽",입문,정보,280,"높음",84
"모루인형키트",입문,상업,280,"높음",84
"디퓨져공병",입문,정보,280,"높음",84
"마크라메네트백",입문,정보,280,"높음",84
"레진조색제",입문,정보,270,"높음",81
"천연원석팔찌재료",입문,상업,270,"높음",81
"공방창업",강사,거래,270,"높음",81
"기억에남는선물",선물,정보,270,"높음",81
"중년여성선물",선물,정보,270,"높음",81
"디퓨저대용량",입문,정보,270,"높음",81
"찾아오는체험학습",학부모,거래,270,"높음",81
"색소폰목걸이",입문,정보,270,"높음",81
"원데이클래스서울",입문,거래,270,"높음",81
"캔들재료",입문,상업,270,"높음",81
"향초만들기",입문,상업,270,"높음",81
"제주만들기체험",입문,거래,270,"높음",81
"��트비즈",입문,정보,270,"높음",81
"비즈샵",입문,정보,270,"높음",81
"인형키링만들기",입문,상업,270,"높음",81
"마크라메우동끈",입문,정보,160,"높��",80
"가죽공예재료",입문,상업,260,"높음",78
"옻칠공예",입문,정보,260,"높음",78
"피규어레진",입문,정보,130,"중간",78
"핸드폰스트랩만들기",입문,상업,260,"높음",78
"은부자재",입문,상업,260,"높음",78
"백화점한우선물세트",선물,정보,260,"높음",78
"할머니생일선물",선물,정보,260,"높음",78
"은사님선물",선물,정보,260,"높음",78
"오픈선물",선물,정보,260,"높음",78
"디퓨저파는곳",입문,정보,260,"높음",78
"통가죽가방",입문,정보,260,"높음",78
"가죽가방공방",입문,거래,260,"높음",78
"2만원선물",선물,정보,260,"높음",78
"우드디퓨저",입문,정보,260,"높음",78
"가죽공예실",입문,정보,260,"높음",78
"서울데이트코스추천",커플,정보,260,"높음",78
"천연캔들",입문,정보,130,"중간",78
"천연방향제만들기",입문,상업,260,"높음",78
"취미부자",입문,정보,130,"중간",78
"테이퍼캔들",입문,정보,130,"중간",78
"비즈공예세트",입문,정보,260,"높음",78
"컬러비즈세트",입문,정보,260,"높음",78
"염주재료",입문,상업,250,"높음",75
"어린이만들기체험",학부모,거래,250,"높음",75
"이사집들이선물",선물,정보,250,"높음",75
"가죽공방지갑",입문,거래,250,"높음",75
"캘리그라피글씨",입문,정보,250,"높음",75
"욕실디퓨저",입문,정보,250,"높음",75
"이천데이트코스",커플,정보,250,"높음",75
"도자기그릇만들기",입문,상업,250,"높음",75
"디퓨저리드스틱",입문,정보,250,"높음",75
"그림배우기",입문,거래,250,"높음",75
"요리체험",입문,거래,250,"높음",75
"용인원데이클래스",입문,거래,250,"높음",75
"석고틀",입문,정보,250,"높음",75
"구슬비즈",입문,정보,250,"높음",75
"막대비즈",입문,정보,250,"높음",75
"귀걸이만들기",입문,상업,250,"높음",75
"투명비즈",입문,정보,250,"높음",75
"손뜨개조끼",입문,정보,250,"높음",75
"원석부자재",입문,상업,240,"높음",72
"체험데이트",커플,거래,240,"높음",72
"그림선물",선물,정보,240,"높음",72
"떡케이크만들기",입문,상업,240,"높음",72
"더치커피선물세트",선물,정보,240,"높음",72
"우정선물",선물,정보,240,"높음",72
"유칼립투스디퓨저",입문,정보,240,"높음",72
"가방공방",입문,거래,240,"높음",72
"천연소가죽",입문,정보,240,"높음",72
"이태원반지공방",입문,거래,120,"중간",72
"모네프디퓨저",입문,정보,120,"중간",72
"마곡원데이클래스",입문,거래,240,"높음",72
"비누만들기체험",입문,거래,240,"높음",72
"클로버비즈",입문,정보,120,"중간",72
"스컬프쳐페인팅",입문,정보,120,"중간",72
"팔찌팬던트",입문,정보,240,"높음",72
"별비즈",입문,정보,240,"높음",72
"키링비즈",입문,정보,240,"높음",72
"키링만들기재료",입문,상업,240,"높음",72
"원석재료",입문,상업,240,"높음",72
"압화부채",입문,정보,240,"높음",72
"레진공예재료",입문,상업,230,"높음",69
"퇴근후취미",입문,정보,230,"높음",69
"복주머니만들기",입문,상업,230,"높음",69
"남대문악세사리부자재",입문,상업,230,"높음",69
"캔들선물",선물,정보,230,"높음",69
"일일클래스",입문,거래,230,"높음",69
"50대아버지생신선물",선물,정보,230,"높음",69
"외국인이좋아하는선물",선물,정보,230,"높음",69
"30대친구생일선물",선물,정보,230,"높음",69
"가죽공예원데이클래스",입문,거래,230,"높음",69
"소가죽원단",입문,정보,230,"높음",69
"악세사리공방",입문,거래,230,"높음",69
"가죽피할기",입문,정보,230,"높음",69
"오브제캔들",작품,정보,230,"높음",69
"테라리움클래스",입문,거래,230,"높음",69
"비즈가방만들기",입문,상업,230,"높음",69
"비즈파는곳",입문,정보,230,"높음",69
"서울실내데이트코스",커플,정보,230,"높음",69
"미유키시드비즈",입문,정보,230,"높음",69
"오로라비즈",입문,정보,110,"중간",66
"만들기DIY",입문,상업,220,"높음",66
"비즈도매사이트",입문,정보,110,"중간",66
"기념선물",선물,정보,220,"높음",66
"디퓨저세트",입문,정보,110,"중간",66
"비누향디퓨저",입문,정보,220,"높음",66
"편백나무디퓨저",입문,정보,220,"높음",66
"원데이클래스추천",입문,거래,220,"높음",66
"디퓨저답례품",선물,정보,220,"높음",66
"레더키트",입문,상업,220,"높음",66
"일로레더",입문,정보,110,"중간",66
"수제향수",입문,정보,220,"높음",66
"부테로가죽",입문,정보,220,"높음",66
"가죽미싱",입문,정보,220,"높음",66
"꽃원데이클래스",입문,거래,220,"높음",66
"노원쿠킹클래스",입문,거래,110,"중간",66
"쿠킹원데이클래스",입문,거래,220,"높음",66
"향수오일",입문,정보,220,"높음",66
"비즈키트",입문,상업,220,"높음",66
"비즈스트랩만들기",입문,상업,220,"높음",66
"터프팅원데이클래스",입문,거래,110,"중간",66
"7만원대선물",선물,정보,210,"높음",63
"야자수화분",입문,정보,210,"높음",63
"가죽공예독학",입문,정보,210,"높음",63
"가죽공방추천",입문,거래,210,"높음",63
"대구캘리그라피",입문,정보,210,"높음",63
"염소가죽",입문,정보,210,"높음",63
"가죽바늘",입문,정보,210,"높음",63
"쇼파가죽",입문,정보,210,"높음",63
"성인취미피아노",입문,정보,210,"높음",63
"테라리움DIY",입문,상업,210,"높음",63
"초만들기",입문,상업,210,"높음",63
"향수재료",입문,상업,210,"높음",63
"은목걸이제작",입문,정보,210,"높음",63
"팔찌만들기세트",입문,상업,210,"높음",63
"커플원데이클래스",커플,거래,200,"높음",60
"비녀만들기",입문,상업,200,"높음",60
"원형실리콘몰드",입문,상업,200,"높음",60
"붓펜캘리그라피",입문,정보,200,"높음",60
"가죽부자재",입문,상업,200,"높음",60
"의정부반지만들기",입문,상업,100,"중간",60
"자투리가죽",입문,정보,200,"높음",60
"취미미술학원",입문,정보,200,"높음",60
"석고방향제키트",입문,상업,200,"높음",60
"취미어플",입문,정보,100,"중간",60
"목걸이재료",입문,상업,200,"높음",60
"팔찌원석",입문,정보,200,"높음",60
"조향키트",입문,상업,200,"높음",60
"핸드크림만들기",입문,상업,200,"높음",60
"원석비즈재료",입문,상업,200,"높음",60
"도예재료",입문,상업,190,"높음",57
"유아미술재료",학부모,상업,190,"높음",57
"써지컬스틸부자재",입문,상업,190,"높음",57
"앙금플라워자격증",강사,정보,190,"높음",57
"와이프생일선물추천",선물,정보,190,"높음",57
"캘리그라피배우기",입문,거래,190,"높음",57
"캘리그라피수업",입문,거래,190,"높음",57
"머그컵만들기",입문,상업,190,"높음",57
"가죽공예부자재",입문,상업,190,"높음",57
"통가죽",입문,정보,190,"높음",57
"퀼트DIY",입문,상업,190,"높음",57
"석고방향제재료",입문,상업,190,"높음",57
"집에서하는취미",입문,정보,190,"높음",57
"향수원액",입문,정보,190,"높음",57
"팔찌만들기재료",입문,상업,190,"높음",57
"향수제작",입문,정보,190,"높음",57
"네온사인만들기",입문,상업,190,"높음",57
"악세사리만들기",입문,상업,190,"높음",57
"동대문팔찌재료",입문,상업,190,"높음",57
"옥비즈",입문,정보,190,"높음",57
"슈링클도안",입문,상업,180,"높음",54
"가죽키링DIY",입문,상업,180,"높음",54
"어린이집만들기",학부모,상업,180,"높음",54
"비즈공예자격증",강사,정보,180,"높음",54
"선물세트추천",선물,정보,180,"높음",54
"모임선물",선물,정보,180,"높음",54
"선물용디퓨저",선물,정보,180,"높음",54
"디퓨져파는곳",입문,정보,180,"높음",54
"고급디퓨져",입문,정보,180,"높음",54
"방디퓨저",입문,정보,180,"높음",54
"가죽공예자격증",강사,정보,180,"높음",54
"의정부데이트코스",커플,정보,180,"높음",54
"가죽팔찌만들기",입문,상업,180,"높음",54
"합정데이트코스",커플,정보,180,"높음",54
"취미모임",입문,정보,180,"높음",54
"디퓨저재료",입문,상업,180,"높음",54
"은반지제작",입문,정보,180,"높음",54
"원형몰드",입문,상업,180,"높음",54
"남양주원데이클래스",입문,거래,180,"높음",54
"원데이클래스종류",입문,거래,180,"높음",54
"나만의향수만들기",입문,상업,180,"높음",54
"커플체험",커플,거래,180,"높음",54
"마크라메재료",입문,상업,180,"높음",54
"은반지공예",입문,정보,180,"높음",54
"델리카비즈",입문,정보,180,"높음",54
"향수만드는법",입문,정보,180,"높음",54
"하남실내데이트",커플,정보,180,"높음",54
"카드지갑뜨개질",입문,정보,180,"높음",54
"레진만들기",입문,상업,170,"높음",51
"레진아트자격증",강사,정보,170,"높음",51
"오토마타만들기",입문,상업,170,"높음",51
"캔들몰드",입문,상업,170,"높음",51
"영양제선물세트",선물,정보,170,"높음",51
"사장님선물",선물,정보,170,"높음",51
"집들이선물디퓨저",선물,정보,170,"높음",51
"효도선물",선물,정보,170,"높음",51
"도자기학원",입문,정보,170,"높음",51
"금반지만들기",입문,상업,170,"높음",51
"서울도자기원데이클래스",입문,거래,170,"높음",51
"도자공방",입문,거래,170,"높음",51
"히노키디퓨저",입문,정보,170,"높음",51
"도자기자격증",강사,정보,170,"높음",51
"가죽원데이클래스",입문,거래,170,"높음",51
"종로이색데이트",커플,정보,170,"높음",51
"광교원데이클래스",입문,거래,170,"높음",51
"안동원데이클래스",입문,거래,170,"높음",51
"디퓨져용기",입문,정보,170,"높음",51
"향수원료",입문,정보,170,"높음",51
"팔찌체인",입문,정보,170,"높음",51
"비즈통",입문,정보,170,"높음",51
"구멍큰비즈",입문,정보,170,"높음",51
"베어브릭석고방향제",입문,정보,170,"높음",51
"비즈발재료",입문,상업,160,"높음",48
"실팔찌재료",입문,상업,160,"높음",48
"냅킨아트재료",입문,상업,160,"높음",48
"취미만들기",입문,상업,160,"높음",48
"부수입만들기",강사,상업,160,"높음",48
"사진선물",선물,정보,160,"높음",48
"액자선물",선물,정보,160,"높음",48
"디퓨져대용량",입문,정보,160,"높음",48
"원룸디퓨저",입문,정보,160,"높음",48
"프리미엄선물세트",선물,정보,160,"높음",48
"옵타움디퓨저",입문,정보,160,"높음",48
"신설동가죽",입문,정보,160,"높음",48
"친환경디퓨저",입문,정보,160,"높음",48
"대전도자기체험",입문,거래,160,"높음",48
"가죽제품",입문,정보,160,"높음",48
"한식쿠킹클래스",입문,거래,160,"높음",48
"영등포원데이클래스",입문,거래,160,"높음",48
"알사탕그림책",입문,정보,160,"높음",48
"명함만들기프로그램",입문,상업,160,"높음",48
"향수향료",입문,정보,160,"높음",48
"메탈비즈",입문,정보,160,"높음",48
"비즈팔찌DIY",입문,상업,160,"높음",48
"팔찌구슬",입문,정보,160,"높음",48
"씨드비즈",입문,정보,160,"높음",48
"비즈원석팔찌",입문,정보,160,"높음",48
"세라믹비즈",입문,정보,160,"높음",48
"차량용디퓨저용기",입문,정보,160,"높음",48
"묵주만들기재료",입문,상업,160,"높음",48
"레진아트키링",입문,정보,150,"높음",45
"브로치부자재",입문,상업,150,"높음",45
"악세사리재료",입문,상업,150,"높음",45
"만들기취미",입문,상업,150,"높음",45
"교구만들기",입문,상업,150,"높음",45
"스승의날선물추천",선물,정보,150,"높음",45
"부모님선물세트",선물,정보,150,"높음",45
"향수디퓨저",입문,정보,150,"높음",45
"카페디퓨저",입문,정보,150,"높음",45
"오래가는디퓨저",입문,정보,150,"높음",45
"도자기수업",입문,거래,150,"높음",45
"가죽소품",입문,정보,150,"높음",45
"꽃디퓨저",입문,정보,150,"높음",45
"부산캘리그라피",입문,정보,150,"높음",45
"다우니디퓨저",입문,정보,150,"높음",45
"양면가죽",입문,정보,150,"높음",45
"가죽공예포니",입문,정보,150,"높음",45
"건대원데이클래스",입문,거래,150,"높음",45
"생활도자기",입문,정보,150,"높음",45
"합정원데이클래스",입문,거래,150,"높음",45
"강남쿠킹클래스",입문,거래,150,"높음",45
"취미활동추천",입문,정보,150,"높음",45
"염주팔찌만들기",입문,상업,150,"높음",45
"손뜨개카드지갑",입문,정보,150,"높음",45
"반지만들기카페",입문,상업,145,"높음",44
"레진실리콘몰드",입문,상업,140,"높음",42
"전통공예품",입문,정보,140,"높음",42
"자개모빌재료",입문,상업,140,"높음",42
"머리띠부자재",입문,상업,140,"높음",42
"만들기활동",입문,상업,140,"높음",42
"취미키트",입문,상업,140,"높음",42
"비즈공예부자재",입문,상업,140,"높음",42
"선물셋트",선물,정보,140,"높음",42
"디퓨저향",입문,정보,140,"높음",42
"익선동향수",입문,정보,140,"높음",42
"개소식선물",선물,정보,140,"높음",42
"20대친구생일선물",선물,정보,140,"높음",42
"명절선물추천",선물,정보,140,"높음",42
"도자기주문제작",입문,정보,140,"높음",42
"가죽공예클래스",입문,거래,140,"높음",42
"양말공예",입문,정보,140,"높음",42
"캘리그라피강좌",입문,정보,140,"높음",42
"굿앤레더",입문,정보,140,"높음",42
"청주캘리그라피",입문,정보,140,"높음",42
"가죽공예공구",입문,정보,140,"높음",42
"가죽피할",입문,정보,140,"높음",42
"도자공예",입문,정보,140,"높음",42
"편백향디퓨저",입문,정보,140,"높음",42
"명상클래스",입문,거래,140,"높음",42
"주말취미",입문,정보,140,"높음",42
"목공부스",입문,정보,140,"높음",42
"노원원데이클래스",입문,거래,140,"높음",42
"문래원데이클래스",입문,거래,140,"높음",42
"디저트원데이클래스",입문,거래,140,"높음",42
"취미피아노",입문,정보,140,"높음",42
"룸스프레이만들기",입문,상업,140,"높음",42
"양초캔들",입문,정보,140,"높음",42
"아산원데이클래스",입문,거래,140,"높음",42
"코바늘클래스",입문,거래,140,"높음",42
"중년취미",입문,정보,140,"높음",42
"주얼리제작",입문,정보,140,"높음",42
"석고방향제제작",입문,정보,140,"높음",42
"토호비즈",입문,정보,140,"높음",42
"비즈장식",입문,정보,140,"높음",42
"숫자비즈",입문,정보,140,"높음",42
"담수진주비즈",입문,정보,140,"높음",42
"담수진주재료",입문,상업,140,"높음",42
"조향클래스",입문,거래,140,"높음",42
"비즈공예공구",입문,정보,140,"높음",42
"야광비즈",입문,정보,140,"높음",42
"도자기석고몰드",입문,상업,140,"높음",42
"DIY만들기키트",입문,상업,140,"높음",42
"서울커플데이트",커플,정보,140,"높음",42
"비즈액세서리",입문,정보,135,"높음",41
"레진DIY",입문,상업,130,"높음",39
"옻칠재료",입문,상업,130,"높음",39
"14K부자재",입문,상업,130,"높음",39
"미술만들기재료",입문,상업,130,"높음",39
"DIY그리기",입문,상업,130,"높음",39
"방과후토탈공예",입문,정보,130,"높음",39
"삔부자재",입문,상업,130,"높음",39
"가죽지갑DIY",입문,상업,130,"높음",39
"교사선물",선물,정보,130,"높음",39
"사무실이사선물",선물,정보,130,"높음",39
"기업선물",선물,정보,130,"높음",39
"와인병디퓨저",입문,정보,130,"높음",39
"화장실소품",입문,정보,130,"높음",39
"1년선물",선물,정보,130,"높음",39
"이천도자기만들기",입문,상업,130,"높음",39
"의정부이색데이트",커플,정보,130,"높음",39
"물레도자기공방",입문,거래,130,"높음",39
"향수DIY",입문,상업,130,"높음",39
"캔들세트",입문,정보,130,"높음",39
"모루인형만들기키트",입문,상업,130,"높음",39
"캔들왁스",입문,정보,130,"높음",39
"송파원데이클래스",입문,거래,130,"높음",39
"센터피스만들기",입문,상업,130,"높음",39
"석고방향제DIY",입문,상업,130,"높음",39
"천연디퓨저만들기",입문,상업,130,"높음",39
"하트몰드",입문,상업,130,"높음",39
"향초추천",입문,정보,130,"높음",39
"향수OEM",입문,정보,130,"높음",39
"과일비즈",입문,정보,130,"높음",39
"동대문리본부자재",입문,상업,130,"높음",39
"천연세제만들기",입문,상업,130,"높음",39
"비즈팬던트",입문,정보,130,"높음",39
"목걸이비즈",입문,정보,130,"높음",39
"은팔찌재료",입문,상업,125,"높음",38
"캔들만들기키트",입문,상업,120,"높음",36
"귀걸이재료",입문,상업,120,"높음",36
"체인부자재",입문,상업,120,"높음",36
"무광비즈",입문,정보,120,"높음",36
"레진램프",입문,정보,120,"높음",36
"60대여자생일선물",선물,정보,120,"높음",36
"디퓨저향추천",입문,정보,120,"높음",36
"가성비디퓨저",입문,정보,120,"높음",36
"가정용디퓨저",입문,정보,120,"높음",36
"드레스룸디퓨저",입문,정보,120,"높음",36
"디퓨저꽃",입문,정보,120,"높음",36
"신생아디퓨저",입문,정보,120,"높음",36
"캘리그라피교재",입문,정보,120,"높음",36
"미니디퓨저",입문,정보,120,"높음",36
"생화향디퓨저",입문,정보,120,"높음",36
"가죽가방제작",입문,정보,120,"높음",36
"가죽재단",입문,정보,120,"높음",36
"대구도예",입문,정보,120,"높음",36
"끌레망스가죽",입문,정보,120,"높음",36
"우디디퓨저",입문,정보,120,"높음",36
"목공예체험",입문,거래,120,"높음",36
